entry_date,exit_date,entry_price,exit_price,shares,pnl_gross,pnl_net,fees_total
2018-10-23,2018-11-16,6.603299904584884,9.705145038127899,1717,5325.868094293356,5278.668094293356,47.2
2018-11-29,2018-12-06,10.985489542007446,10.784604961872102,2121,-426.07619446706565,-473.27619446706564,47.2
2019-01-23,2019-01-25,10.275135457992553,10.384805343151093,3124,342.6087212352805,295.4087212352805,47.2
2019-02-20,2019-03-22,7.413704847335815,9.755120228767396,1437,3364.613903117182,3317.413903117182,47.2
2019-04-12,2019-04-25,10.10505038166046,10.594700381278992,2360,1155.5739990997354,1108.3739990997353,47.2
2019-05-20,2019-06-17,8.944469580173491,9.695149809360505,1734,1301.6795174102813,1254.4795174102812,47.2
2019-06-25,2019-07-17,10.065030419826506,12.673660305023194,2118,5525.078096846585,5477.878096846585,47.2
2019-09-09,2019-10-01,11.695844580173492,12.9535200381279,2064,2595.8421452178973,2548.6421452178975,47.2
2019-10-25,2019-11-13,12.706349809169769,13.443274809360505,2341,1725.1414254465124,1677.9414254465123,47.2
2019-12-13,2020-01-08,12.106050381660461,12.073959923744201,2243,-71.97889710617062,-119.17889710617062,47.2
2020-01-13,2020-01-31,12.266130228996277,12.553720419406892,2651,762.4015947785406,715.2015947785405,47.2
2020-03-26,2020-06-12,5.792894961833953,7.216389790296555,1172,1668.335938958169,1621.135938958169,47.2
2020-07-28,2020-09-01,7.073535171747207,7.796100190639496,6363,4597.6812152116345,4550.481215211635,47.2
2020-10-29,2020-12-14,7.073535171747207,8.985504771232605,7567,14467.873959306009,14420.673959306008,47.2
2021-01-08,2021-01-21,10.305150190830231,11.194399809360505,2495,2218.6777982330327,2171.477798233033,47.2
2021-02-12,2021-02-24,10.80540019083023,11.134430343151093,2243,738.0146316556957,690.8146316556956,47.2
2021-02-25,2021-02-26,11.165579847335815,11.174410305023194,1899,16.769039148333142,-30.43096085166686,47.2
2021-03-02,2021-03-31,11.255625,17.22138454246521,1717,10243.209134412764,10196.009134412763,47.2
2021-05-07,2021-05-14,19.809899236679076,19.670160305023195,1252,-174.95314243316278,-222.15314243316277,47.2
